Site_Name,LATITUDE,LONGITUDE,C2H4Demand [kg/year],HCOOHDemand  [kg/year],CODemand  [kg/year],Feedstock [tCO2/year],Facility Type,Source,COMPANY,STATE,CO2CAPCOST [$/tCO2],Generation,Useful_ThermalE,elec[$/kWh]
"PCS Nitrogen Ohio, L.P.",422568.073,991658.5451,0,0,0,1334390,Ammonia,EPA FLIGHT,PCS NITROGEN FERTILIZER LP (100%),OH,25,0,0,0.09
"CF INDUSTRIES NITROGEN, LLC - DONALDSONVILLE NITROGEN COMPLEX",-813589.4093,485347.0651,0,0,0,7484070,Ammonia,EPA FLIGHT,CF INDUSTRIES HOLDINGS INC (100%),LA,25,0,0,0.08
PCS NITROGEN FERTILIZER LP - GEISMAR AGRICULTURAL NITROGEN & PHOSPHATE PLANT,-799976.9994,475271.4101,0,0,0,902873,Ammonia,EPA FLIGHT,PCS NITROGEN FERTILIZER LP (100%),LA,25,0,0,0.08
"KOCH FERTILIZER BEATRICE, LLC",316261.4017,-70875.30074,0,0,0,551470,Ammonia,EPA FLIGHT,KOCH INDUSTRIES INC (100%),NE,25,0,0,0.07
"KOCH FERTILIZER DODGE CITY, LLC",38133.60704,-342750.2276,0,0,0,540945,Ammonia,EPA FLIGHT,KOCH INDUSTRIES INC (100%),KS,25,0,0,0.07
KOCH FERITLIZER ENID LLC ENID NITROGEN PLT,-124193.5131,-156789.6033,0,0,0,1844750,Ammonia,EPA FLIGHT,KOCH INDUSTRIES INC (100%),OK,25,0,0,0.05
AGRIUM US BORGER NITROGEN OPERATIONS,-194282.6981,-486494.2549,0,0,0,1232108,Ammonia,EPA FLIGHT,AGRIUM US INC (100%),TX,25,0,0,0.04
Dyno Nobel Louisiana Ammonia LLC,-824632.121,552691.6918,0,0,0,912809,Ammonia,EPA FLIGHT,DYNO NOBEL INC (100%),LA,25,0,0,0.05
"East Dubuque Nitrogen Fertilizers, LLC",566419.931,444642.9147,0,0,0,687357,Ammonia,EPA FLIGHT,CVR ENERGY INC (100%),IL,25,0,0,0.07
Iowa Fertilizer Company,368151.5299,399039.4338,0,0,0,1683196,Ammonia,EPA FLIGHT,IOWA FERTILIZER CO LLC (100%),IA,25,0,0,0.07
Tampa Port Services,-815020.8737,489544.1395,0,0,0,851272,Ammonia,EPA FLIGHT,THE MOSAIC CO (100%),LA,25,0,0,0.05
Great Plains Synfuels Plant,1114430.845,-443353.3428,0,0,0,4082336,Ammonia,EPA FLIGHT,BASIN ELECTRIC POWER COOPERATIVE (100%),ND,25,0,0,0.08
COFFEYVILLE RESOURCES NITROGEN FERT.,-50875.23312,34787.22029,0,0,0,1260938,Ammonia,EPA FLIGHT,CVR ENERGY INC (100%),KS,25,0,0,0.09
ADVANSIX INCORPORATED - HOPEWELL,127972.6539,1645900.204,0,0,0,995293,Ammonia,EPA FLIGHT,ADVANSIX INC (100%),VA,25,0,0,0.07
"PCS NITROGEN FERTILIZER, L.P.",-358191.4244,1294263.353,0,0,0,1399563,Ammonia,EPA FLIGHT,POTASH HOLDING CO INC (100%),GA,25,0,0,0.06
VERDIGRIS PLT,-141859.764,25018.25047,0,0,0,2223729,Ammonia,EPA FLIGHT,CF INDUSTRIES HOLDINGS INC (100%),OK,25,0,0,0.08
EL DORADO CHEMICAL COMPANY,-468479.0322,306423.3515,0,0,0,815923,Ammonia,EPA FLIGHT,LSB INDUSTRIES INC (100%),AR,25,0,0,0.07
"Koch Fertilizer Ft. Dodge, LLC",561663.1889,161942.421,0,0,0,688696,Ammonia,EPA FLIGHT,KOCH INDUSTRIES INC (100%),IA,25,0,0,0.05
"CF Industries Nitrogen, LLC-Port Neal Nitrogen Complex",540851.4206,-29877.26667,0,0,0,2486126,Ammonia,EPA FLIGHT,CF INDUSTRIES HOLDINGS INC (100%),IA,25,0,0,0.05
TERRA INTERNATIONAL (OKLAHOMA) INC,-113543.101,-308252.8833,0,0,0,962017,Ammonia,EPA FLIGHT,CF INDUSTRIES HOLDINGS INC (100%),OK,25,0,0,0.05
"CF Industries Nitrogen, LLC - Yazoo City Facility",-498725.817,521966.4874,0,0,0,1109401,Ammonia,EPA FLIGHT,CF INDUSTRIES HOLDINGS INC (100%),MS,25,0,0,0.06
CHEROKEE NITROGEN,-271021.5411,730584.3262,0,0,0,264142,Ammonia,EPA FLIGHT,LSB INDUSTRIES INC (100%),AL,25,0,0,0.06
Dyno Nobel,1232536.532,-2056374.167,0,0,0,175811,Ammonia,EPA FLIGHT,DYNO NOBEL INC (100%),OR,25,0,0,0.04
Cheyenne Plant,437582.8969,-741095.106,0,0,0,384022,Ammonia,EPA FLIGHT,DYNO NOBEL INC (100%),WY,25,0,0,0.07
PRYOR CHEMICAL COMPANY,-140786.8469,64266.01187,0,0,0,323513,Ammonia,EPA FLIGHT,LSB INDUSTRIES INC (100%),OK,25,0,0,0.04
SIMPLOT PHOSPHATES,527757.5396,-1083879.358,0,0,0,306681,Ammonia,EPA FLIGHT,JR SIMPLOT CO (100%),WY,25,0,0,0.07
US Nitrogen LLC,-67255.39972,1154596.002,0,0,0,112673,Ammonia,EPA FLIGHT,AUSTIN POWDER HOLDINGS CO (100%),TN,25,0,0,0.06
GREEN VALLEY CHEMICAL CORP,406591.4708,138513.5172,0,0,0,59070,Ammonia,EPA FLIGHT,GREEN VALLEY CHEMICAL CORP (100%),IA,25,0,0,0.07
Fortigen Geneva LLC,341664.6719,-132874.6236,0,0,0,45591,Ammonia,EPA FLIGHT,Fortigen LLC (100%),NE,25,0,0,0.08
Echo Springs Gas Plant,525388.6826,-975074.1197,0,0,0,512702,NG Processing,EPA FLIGHT,THE WILLIAMS COS (100%),WY,29,0,0,0.09
Mont Belvieu Complex,-852614.0176,104956.8578,0,0,0,1307719,NG Processing,EPA FLIGHT,ENTERPRISE PRODUCTS PARTNERS LP (100%),TX,29,0,0,0.05
Jameson Gas Plant,-598729.2747,-439870.2826,0,0,0,546606,NG Processing,EPA FLIGHT,WTG JAMESON LP (100%),TX,29,0,0,0.05
